lambda,epsilon0(PT1),epsilon1(PT1),epsilon2(PT1)
0,0,0,0
0.01,0.01254053,0.032099189,0.069904055
0.05,0.267731756,0.640138532,1.296569882
0.1,0.911914215,2.060194341,3.949936305
0.2,2.835335634,5.961977808,10.71729703
0.3,5.236286131,10.51620587,18.18269675
0.4,7.900801282,15.3524631,25.83776261
0.5,10.72154485,20.31296683,33.50186086
0.6,13.63782686,25.31974527,41.10030399
0.8,19.62212477,35.32252819,55.98955932
1,25.68664048,45.1983643,70.42073781
1.5,40.78295423,69.06959682,104.6074518
2,55.51699978,91.75334463,136.5188275
2.5,69.80614806,113.3841413,166.6174898
