x, state0, state1, state2, state3, state4, state5, state6, state7, state8, state9, state10, state11, state12, state13, state14, state15, state16, state17, state18, state19, state20, state21, state22, state23, state24, state25, state26, state27, state28, state29, state30, state31, state32, state33, state34, state35, state36, state37, state38, state39, state40, state41, state42, state43, state44, state45, state46, state47, state48, state49
-3.00000e+01, 5.06830e-24, 5.46279e-24, 4.41398e-25, 1.21712e-23, 1.77725e-24, 1.07688e-23, 2.60367e-23, -9.32050e-24, -8.54033e-24, -1.49652e-23, -1.19166e-23, -1.71696e-23, -1.30385e-23, -6.51413e-25, -4.26679e-24, -3.20035e-24, -1.29101e-23, -1.24457e-25, -4.21205e-24, -1.54605e-24, -9.19483e-24, -4.92566e-24, -1.81240e-24, -3.60186e-23, 4.99086e-24, 1.04725e-23, 1.76715e-23, 5.68033e-24, 9.75325e-26, 2.20161e-23, 7.18940e-24, 1.01591e-23, 9.74897e-24, 2.53456e-23, 5.94638e-24, 1.69850e-24, 1.45370e-23, 3.30957e-24, 1.95995e-23, 2.60275e-24, 1.57856e-23, 1.43131e-23, 1.69722e-24, 1.69237e-24, 5.62869e-24, 1.44205e-23, 7.90216e-24, 1.15955e-23, 1.23999e-23, 5.80475e-24
-2.99400e+01, 6.33442e-19, 7.74956e-20, 4.12441e-19, 2.10014e-19, -2.86468e-19, -6.16303e-20, -3.04642e-19, 2.21883e-19, 2.35949e-19, 1.07142e-19, 1.07220e-19, 2.68024e-19, -1.13524e-19, -1.54266e-20, -1.63816e-19, 3.65697e-20, -9.03928e-20, -1.34820e-19, 9.44256e-20, -1.73690e-19, -1.64901e-20, -3.78423e-20, 1.19748e-19, -7.32732e-19, -3.74977e-19, -9.55531e-20, 1.05868e-19, 8.99672e-20, 2.10840e-19, 2.34407e-19, -2.51841e-20, -1.44477e-20, 1.79881e-19, 1.78643e-19, 2.79430e-19, 5.36116e-19, 2.48792e-19, 1.56766e-19, 4.80059e-19, 1.52556e-19, 1.95248e-19, 4.02779e-19, 1.10834e-19, -1.33727e-19, 2.89128e-19, 4.71545e-20, 1.73116e-19, 2.03176e-19, -1.89426e-19, -2.00620e-19
-2.98800e+01, 2.77682e-18, -2.13716e-19, 2.20136e-18, 1.08817e-18, -7.18266e-19, -5.20105e-19, -1.25362e-18, 1.04728e-18, 3.14763e-19, 4.41316e-19, 1.16566e-19, 5.80751e-19, -6.10373e-19, 1.78989e-19, -9.10681e-19, 1.08016e-19, -8.00633e-19, -4.48442e-19, 4.09604e-20, -1.27028e-18, -2.81870e-19, -3.25001e-19, 4.56157e-19, -3.90667e-18, -2.08486e-18, -4.64647e-19, 5.70833e-19, -5.46244e-19, 3.45433e-19, 1.47840e-19, 2.39602e-19, -3.75697e-19, -3.05742e-19, 7.53364e-20, 2.00312e-18, 2.05764e-18, 9.01470e-19, 2.07567e-19, 1.47087e-18, 6.56159e-19, 7.48301e-19, 2.37122e-18, 7.63973e-19, 9.29178e-20, 1.78690e-18, -8.83882e-19, 5.39025e-19, 5.76747e-19, -8.81198e-19, -7.63944e-19
-2.98200e+01, 6.47178e-19, -2.74503e-19, 6.44626e-19, 1.44916e-18, 2.27953e-18, 7.93786e-19, 2.22878e-19, -7.43197e-19, -2.00484e-18, 5.52545e-19, 1.83863e-19, -1.62117e-18, 8.73106e-19, 1.00494e-19, 8.64156e-19, 2.37213e-19, -7.75510e-19, 1.77027e-18, -1.82186e-18, 2.63750e-21, -1.38209e-18, 9.98664e-19, -1.08249e-18, -1.70363e-18, -1.18553e-19, -8.25767e-19, 6.95731e-19, -2.82227e-18, -2.27779e-18, -2.69837e-18, 2.34715e-18, -7.83039e-19, -2.31343e-18, -7.71033e-19, 1.23917e-18, -1.47559e-18, -3.03000e-19, -6.18568e-19, -1.77946e-18, 1.25740e-18, 4.37891e-19, 2.07607e-18, 7.95134e-19, 3.43619e-18, 7.87215e-19, -2.69355e-18, 5.97065e-19, -8.81875e-19, 1.06847e-18, 1.82877e-18
-2.97600e+01, 2.91044e-18, 2.04071e-20, -1.53851e-19, 2.16093e-18, -2.75940e-20, 2.63597e-18, -9.68864e-19, -2.18390e-18, 1.84176e-19, -1.76250e-19, 5.57884e-19, -4.00717e-19, 5.69428e-20, -4.34288e-20, 1.40042e-18, 8.35126e-19, -5.15077e-19, 3.16231e-18, -1.86143e-18, 2.20123e-18, -3.28688e-18, 3.38126e-18, -2.55067e-18, -1.14553e-18, -1.96959e-20, -1.85842e-18, 8.45943e-19, -5.09897e-19, 1.39321e-18, -1.70899e-18, 2.65415e-18, -1.07882e-18, -1.82574e-19, 3.56555e-19, -1.53555e-18, 4.08418e-19, -2.62634e-19, 1.29021e-18, 1.92982e-19, 2.54719e-18, 4.48300e-19, 1.47970e-18, 7.45368e-19, 4.06766e-18, -1.59677e-19, -1.60662e-18, 3.17504e-18, 1.38458e-18, 1.16581e-18, 1.48165e-18
-2.97000e+01, 2.79456e-18, -2.95961e-18, 2.05739e-18, 1.93954e-18, -2.21662e-18, -1.31062e-18, 1.43298e-18, 3.06694e-19, 1.23638e-18, -2.14375e-18, -3.90635e-18, -1.69886e-18, -2.18136e-18, 1.34955e-18, -1.77407e-19, -8.84059e-19, 1.21300e-18, -4.95604e-19, -3.39908e-18, -1.38277e-18, -3.05973e-18, 1.47106e-18, -7.46678e-19, -4.25796e-20, -2.54505e-18, 1.71144e-18, 2.74505e-18, 9.12945e-19, 5.54157e-18, 3.37604e-19, -1.24183e-18, -3.09373e-19, -2.72645e-18, -3.31165e-19, 1.13878e-18, 2.48238e-18, 7.89351e-19, 1.37077e-18, 5.07078e-18, 3.40686e-19, -8.76498e-19, 7.80545e-19, 1.35495e-18, 8.46374e-19, -7.24951e-19, -2.66042e-18, 9.79801e-19, 3.55208e-18, -2.43094e-18, -5.65960e-18
-2.96400e+01, -2.96707e-18, 1.45978e-18, 3.48231e-18, -3.07572e-18, 2.12113e-18, -8.13809e-19, 4.90631e-18, 2.05243e-18, -5.48129e-19, -1.02508e-18, -4.23901e-18, -5.18777e-18, -1.05835e-18, 2.00700e-18, 1.53618e-18, -1.38986e-18, 1.71800e-20, -3.04261e-18, -3.92392e-18, 6.87854e-19, -1.54301e-18, 2.25349e-18, 2.18317e-19, 1.87232e-18, 9.30156e-19, 4.50863e-18, 3.33341e-18, -6.52749e-22, 1.98696e-18, -2.43155e-19, 6.46651e-19, 6.50121e-19, -2.68432e-18, 1.43135e-18, 1.65674e-18, -7.44862e-19, 1.68081e-19, 1.76114e-18, 3.90458e-18, 3.50156e-18, 1.28033e-18, -1.82026e-18, 1.39928e-18, -3.26811e-19, -5.26050e-18, -1.86848e-18, -2.70395e-18, -1.12736e-18, -1.81947e-19, -4.53944e-18
-2.95800e+01, 2.13465e-19, -9.64609e-20, 5.81126e-18, -5.19688e-18, 3.55933e-18, 2.96771e-18, 4.17603e-18, 9.87204e-19, -2.06632e-18, 2.34160e-19, -5.36221e-18, -1.39779e-18, -3.32113e-18, 6.35653e-18, -2.11678e-18, 6.32331e-19, -3.33918e-18, -5.37476e-18, -1.09962e-18, 6.27858e-19, -1.55090e-18, -1.74644e-19, -2.12417e-20, -3.79725e-18, -7.86992e-19, 2.41057e-18, 8.48336e-19, 9.57846e-19, 5.43003e-18, -1.42821e-18, 4.43939e-18, -2.78740e-18, 4.56064e-19, 2.91572e-19, 2.81117e-18, 3.30413e-19, -3.59893e-18, 7.71827e-19, -1.49744e-18, 6.12586e-18, 3.72050e-18, 7.81156e-19, 1.42068e-18, 3.80932e-18, -1.48213e-18, -2.92821e-18, 9.01196e-19, -4.73318e-19, -7.99339e-19, -1.17218e-18
-2.95200e+01, 3.87364e-18, -1.62586e-19, 3.99003e-18, -4.91865e-19, 3.07602e-18, 2.84007e-18, 8.74820e-18, -1.75436e-18, -3.07806e-18, 2.15859e-18, -5.37854e-18, -1.88171e-18, -2.03515e-18, 4.62913e-18, 1.22944e-18, -1.43547e-18, 3.85567e-18, -4.10552e-18, -1.18297e-18, -9.95625e-19, 1.57154e-18, -6.07869e-18, 2.37131e-18, -2.99920e-18, -6.84631e-19, 4.86453e-18, 1.49930e-18, 2.99376e-18, 5.78079e-18, 8.23340e-20, 1.57033e-18, -3.56130e-20, 3.65301e-18, 5.96303e-18, 7.79556e-18, -4.02851e-18, -4.10801e-18, -3.51218e-19, 7.91691e-19, 8.08968e-19, 4.83587e-18, 2.62677e-18, 3.32949e-19, 5.47547e-18, 5.12896e-19, -1.28872e-18, -1.25637e-19, -5.32964e-19, -3.17272e-18, -7.44519e-18
-2.94600e+01, -4.32006e-19, 8.19578e-19, 3.78450e-18, -2.45908e-18, -5.84586e-19, 2.06692e-18, 4.19530e-18, -2.66574e-18, -2.74908e-18, 4.18395e-19, 5.08060e-19, -1.92334e-18, -2.76001e-18, -1.39489e-19, -1.33337e-18, -1.86342e-18, 2.09994e-18, 1.76574e-18, 2.39846e-18, -2.05785e-19, 1.80895e-19, 6.41316e-20, 3.64022e-18, -7.94115e-19, -5.00832e-19, 3.60922e-18, 1.90287e-18, 4.34126e-18, 3.64827e-18, 7.66291e-19, -4.87179e-19, -9.11196e-19, 9.81652e-19, 5.27246e-20, 2.17905e-18, -2.92943e-18, -3.54556e-18, 1.07925e-18, -2.01570e-18, -3.32001e-18, 6.05553e-18, 1.99186e-18, -9.92850e-19, -1.45411e-18, -6.58767e-18, -4.19618e-18, -3.83723e-18, -3.96590e-18, -1.07162e-18, -9.41467e-18
